metric,value
who_network_rows,1807
who_distinct_diseases,30
who_distinct_pathogens,46
who_distinct_hosts,1011
host_vector_join_ready_rows,3080
host_vector_join_blocked_rows,0
host_vector_blocked_missing_host_tax_id_rows,0
host_vector_join_distinct_hosts,292
host_vector_join_distinct_vectors,655
disease_vector_rows,470
disease_vector_unmatched_rows,207
pathogen_vector_rows,697
pathogen_vector_unmatched_rows,331
disease_host_vector_rows,859
pathogen_host_vector_rows,1175
diseases_with_disease_level_matches,12
diseases_with_pathogen_level_matches,12
taxonomy_caution_rows_total,20
