disease_name,total_disease_vector_rows,total_distinct_disease_vectors,disease_vectors_with_host_overlap,final_disease_host_vector_rows,final_distinct_hosts,final_distinct_vectors,taxonomy_caution_rows
West Nile fever,75,75,47,502,95,47,0
Crimean-Congo hemorrhagic fever,49,49,35,191,17,35,8
Rift Valley fever,88,78,46,141,12,45,4
Venezuelan equine encephalitis,43,35,22,86,17,21,0
Zika virus disease,57,56,30,36,5,29,2
Plague,47,47,12,35,16,11,6
Severe fever with thrombocytopenia syndrome (SFTS),15,15,7,19,6,7,0
Tick-borne encephalitis,11,11,7,19,5,6,0
Chikungunya fever,21,21,13,14,3,12,0
Yellow fever,32,30,13,12,1,12,0
Oropouche fever,16,15,10,10,1,10,0
Dengue,16,16,7,9,3,6,0
